temperature,humidity,time
69.80,42.00,2017-06-25 00:37:56
69.80,41.00,2017-06-25 00:37:56
69.80,41.00,2017-06-25 00:38:00
69.80,41.00,2017-06-25 00:38:02
69.80,41.00,2017-06-25 00:38:04
69.80,41.00,2017-06-25 00:38:11
69.80,41.00,2017-06-25 00:38:13
69.80,41.00,2017-06-25 00:38:15
69.80,41.00,2017-06-25 00:38:17
69.80,41.00,2017-06-25 00:38:19
69.80,41.00,2017-06-25 00:38:26
69.80,41.00,2017-06-25 00:38:28
69.80,41.00,2017-06-25 00:38:30
69.80,40.00,2017-06-25 00:38:32
69.80,41.00,2017-06-25 00:38:34
69.80,41.00,2017-06-25 00:38:41
69.80,41.00,2017-06-25 00:38:43
69.80,41.00,2017-06-25 00:38:45
69.80,41.00,2017-06-25 00:38:47
69.80,41.00,2017-06-25 00:38:49
69.80,40.00,2017-06-25 00:38:56
69.80,41.00,2017-06-25 00:38:59
69.80,41.00,2017-06-25 00:39:01
69.80,40.00,2017-06-25 00:39:03
69.80,41.00,2017-06-25 00:39:05
69.80,41.00,2017-06-25 00:39:12
69.80,41.00,2017-06-25 00:39:14
69.80,41.00,2017-06-25 00:39:16
69.80,41.00,2017-06-25 00:39:18
69.80,40.00,2017-06-25 00:39:20
69.80,41.00,2017-06-25 00:39:27
69.80,41.00,2017-06-25 00:39:29
69.80,41.00,2017-06-25 00:39:31
69.80,41.00,2017-06-25 00:39:33
69.80,41.00,2017-06-25 00:39:35
69.80,41.00,2017-06-25 00:39:42
69.80,41.00,2017-06-25 00:39:44
69.80,41.00,2017-06-25 00:39:46
69.80,40.00,2017-06-25 00:39:48
69.80,40.00,2017-06-25 00:39:50
69.80,40.00,2017-06-25 00:39:57
69.80,41.00,2017-06-25 00:39:59
69.80,41.00,2017-06-25 00:40:01
69.80,41.00,2017-06-25 00:40:03
69.80,40.00,2017-06-25 00:40:05
69.80,40.00,2017-06-25 00:40:12
69.80,41.00,2017-06-25 00:40:14
69.80,41.00,2017-06-25 00:40:16
69.80,41.00,2017-06-25 00:40:18
69.80,40.00,2017-06-25 00:40:20
69.80,41.00,2017-06-25 00:40:27
69.80,41.00,2017-06-25 00:40:29
69.80,41.00,2017-06-25 00:40:32
69.80,41.00,2017-06-25 00:40:34
69.80,40.00,2017-06-25 00:40:36
69.80,40.00,2017-06-25 00:40:43
69.80,41.00,2017-06-25 00:40:45
69.80,41.00,2017-06-25 00:40:47
69.80,40.00,2017-06-25 00:40:49
69.80,40.00,2017-06-25 00:40:51
69.80,41.00,2017-06-25 00:40:58
69.80,41.00,2017-06-25 00:41:00
69.80,41.00,2017-06-25 00:41:02
69.80,41.00,2017-06-25 00:41:04
69.80,40.00,2017-06-25 00:41:06
69.80,40.00,2017-06-25 00:41:13
69.80,41.00,2017-06-25 00:41:15
69.80,40.00,2017-06-25 00:41:17
69.80,40.00,2017-06-25 00:41:19
69.80,40.00,2017-06-25 00:41:21
69.80,41.00,2017-06-25 00:41:28
69.80,41.00,2017-06-25 00:41:30
69.80,40.00,2017-06-25 00:41:32
69.80,41.00,2017-06-25 00:41:34
69.80,40.00,2017-06-25 00:41:36
69.80,40.00,2017-06-25 00:41:43
69.80,41.00,2017-06-25 00:41:45
69.80,41.00,2017-06-25 00:41:47
69.80,40.00,2017-06-25 00:41:49
69.80,41.00,2017-06-25 00:41:51
69.80,40.00,2017-06-25 00:41:58
69.80,41.00,2017-06-25 00:42:00
69.80,41.00,2017-06-25 00:42:02
69.80,40.00,2017-06-25 00:42:05
69.80,40.00,2017-06-25 00:42:07
69.80,41.00,2017-06-25 00:42:14
